№,Музей / тема,Место / статус,Идея / экспозиции,Найденные работы,1. Концепция,Утверждена,2. Конкуренты,Механики: идеи,Календарь: собран,Календарь: принят,Материалы,4. Скилл,Механики: код,5. Главная,3 образца,6. Карточки 365,Аудиогид,Видео: горизонт.,Видео: вертик.,Пакет Reels,Пакет TikTok,Пакет YouTube,YouTube Shorts,VK Клипы,VK Видео,RUTUBE,Карусель,Статья в Дзене,Посты TG / VK / ОК,Сторис,Опрос / викторина,Дайджест / рассылка,Подкаст / аудиоанонс,СМИ / партнёры,Поиск / превью ссылки,Обложки / субтитры,План продвижения,Публикации,Результат продвижения,7. Приёмка,8. Выпуск
11,Музей русского цирка,Музей,—,—,Нет,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
12,Музей русской музыки,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
13,Музей русской анимации и кино,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
14,Музей русской фотографии,Музей,—,—,Нет,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,Музей русского дизайна,Музей,—,—,Нет,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,Музей русской письменности и изображений в книгах,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
17,Музей русской карикатуры,Музей,—,Открыть,Есть,?,?,?,12/12 мес.,12; версии?,?,Есть,?,Есть,Есть,5 учт.,5,2,3,Прототип,Прототип,Нет,Прототип,?,?,?,?,Черновик,?,?,?,?,?,?,?,Часть,?,?,?,Нет,?
18,Музей русского православия,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
19,Музей русского юмора и сатиры,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
20,Музей народных художественных промыслов России,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
21,Музей русских народных сказок,Музей,—,—,Черновик,Нет,Есть,4 согл.,?,Нет,?,Нет,Нет,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
22,Детский музей,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
23,Музей русской кухни и кулинарии,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
24,Музей народного быта,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
25,Музей русской моды и парфюма,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
26,Музей русского спорта,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
27,Музей русского флота и корабля,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
28,Музей Русского Севера и Арктики,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
29,Музей русских железных дорог,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
30,Музей русских денег,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
31,"Музей российских гербов, флагов и гимнов",Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
32,Музей советского периода,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
33,VR-музей русских ремесленников,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
34,Музей «Русский парк» — как всё начиналось,Музей,—,—,Нет,?,?,?,?,Нет,?,Нет,?,Заглушка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
35,Музей русского костюма,Музей,—,—,Есть,Да,Есть,4 согл.,?,?,?,?,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
36,Музей русской частушки,Музей,—,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
37,Музей русских пословиц и поговорок,Отдельный,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
38,Музей школы и просвещения,Резерв,—,—,—,—,—,—,?,—,—,—,—,—,—,—,—,—,—,—,—,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,—,—
39,Музей предпринимательства и меценатства,Резерв,—,—,—,—,—,—,?,—,—,—,—,—,—,—,—,—,—,—,—,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,—,—
40,Музей медицины и заботы,Резерв,—,—,—,—,—,—,?,—,—,—,—,—,—,—,—,—,—,—,—,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,—,—
41,Музей связи,Резерв,—,—,—,—,—,—,?,—,—,—,—,—,—,—,—,—,—,—,—,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,—,—
42,Музей земледелия и сельского труда,Резерв,—,—,—,—,—,—,?,—,—,—,—,—,—,—,—,—,—,—,—,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,—,—
43,Музей городского хозяйства,Резерв,—,—,—,—,—,—,?,—,—,—,—,—,—,—,—,—,—,—,—,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,—,—
44,Узоры регионов России,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
45,Виды тканей,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
46,Цветные наряды из книг и примерочная,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
47,"Учёные, полководцы и другие люди, прославившие Россию",Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
48,Русский лубок,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
49,Русские народные инструменты,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
50,Разновидности гармони,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
51,Наличники деревень и регионов,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
52,Русское письмо и шрифты разных веков,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
53,Виды русской росписи,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
54,Уличные народные театры,Отложено,Обсудить,—,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
